name	website	university_id
Faculty of Dentistry	https://facdent.hku.hk/	137
Faculty of Education	https://www.sclinmed.hku.hk/	137
Faculty of Engineering	https://engg.hku.hk/	137
School of English	https://www.english.hku.hk/	137
Graduate School	https://www.gradsch.hku.hk/	137
Faculty of Law	https://www.law.hku.hk/	137
Li Ka Shing Faculty of Medicine	https://www.med.hku.hk/	137
School of Modern Languages and Cultures	https://www.smlc.hku.hk/	137
Nursing School	https://www.nursing.hku.hk/	137
Public Health School	https://www.sph.hku.hk/	137
Faculty of Science	https://www.scifac.hku.hk/	137
Faculty of Social Sciences	https://www.socsc.hku.hk/	137
Saint John College	https://www.stjohns.hk/	137
School of Advanced International Studies	https://sais.jhu.edu/	138
Applied Physics Laboratory	https://www.jhuapl.edu/	138
Krieger School of Arts and Sciences	https://krieger.jhu.edu/	138
Carey Business School	https://carey.jhu.edu/	138
School of Education	https://education.jhu.edu/	138
Whiting School of Engineering	https://engineering.jhu.edu/	138
School of Medicine	https://www.hopkinsmedicine.org/	138
School of Nursing	https://nursing.jhu.edu/	138
Peabody Institute	https://peabody.jhu.edu/	138
Bloomberg School of Public Health	https://publichealth.jhu.edu/	138
Taubman College of Architecture and Urban Planning	https://taubmancollege.umich.edu/	143
Stamps School of Art & Design	https://stamps.umich.edu/	143
Michigan Ross School of Business	https://michiganross.umich.edu/	143
School of Dentistry	https://dent.umich.edu/	143
Marsal Family School of Education	https://marsal.umich.edu/	143
Michigan Engineering	https://www.engin.umich.edu/	143
School for Environment and Sustainability	https://seas.umich.edu/	143
School of Information	https://www.si.umich.edu/	143
School of Kinesiology	https://www.kines.umich.edu/	143
Michigan Law School	https://www.law.umich.edu/	143
College of Literature, Science, and the Arts	https://lsa.umich.edu/	143
Medical School	https://medicine.umich.edu/	143
School of Music, Theatre & Dance	https://smtd.umich.edu/	143
School of Nursing	https://nursing.umich.edu/	143
College of Pharmacy	https://pharmacy.umich.edu/	143
School of Public Health	https://sph.umich.edu/	143
Rackham Graduate School	https://rackham.umich.edu/	143
School of Social Work	https://ssw.umich.edu/	143
School of Arts & Science	https://as.nyu.edu/	149
College of Dentistry	https://dental.nyu.edu/	149
Courant Institute of Mathematical Sciences	https://cims.nyu.edu/	149
