school_short_name	iso639_1	domain_name	type
utexas-edu	en-US	https://registrar.utexas.edu/	registrar
utexas-edu	en-US	https://catalog.utexas.edu/	catalog
utexas-edu	en-US	https://gradschool.utexas.edu/	graduate
utexas-edu	en-US	https://www.texasexes.org/	alumni
sorbonne	fr-FR	https://www.sorbonne-universite.fr/	index
hkust	zh-HK	https://www.ust.hk/	index
kuleuven-be	nl-NL	https://www.kuleuven.be/	index
ucsd-edu	en-US	https://www.ucsd.edu/	index
ucsd-edu	en-US	https://libraries.ucsd.edu/	libraries
ucsd-edu	en-US	https://admissions.ucsd.edu/	admissions
ucsd-edu	en-US	https://registrar.ucsd.edu/	registrar
ucsd-edu	en-US	https://grad.ucsd.edu/	graduate
ucsd-edu	en-US	https://alumni.ucsd.edu/	alumni
ucsd-edu	en-US	https://studentlife.ucsd.edu/	student life
ucsd-edu	en-US	https://ucsdtritons.com/	athletics
washington-edu	en-US	https://www.washington.edu/	index
washington-edu	en-US	https://www.lib.washington.edu/	libraries
washington-edu	en-US	https://admit.washington.edu/	admissions
washington-edu	en-US	https://registrar.washington.edu/	registrar
washington-edu	en-US	https://www.grad.uw.edu/	graduate
illinois-edu	en-US	https://illinois.edu/	index
illinois-edu	en-US	https://www.library.illinois.edu/	libraries
illinois-edu	en-US	https://admissions.illinois.edu/	admissions
illinois-edu	en-US	https://registrar.illinois.edu/	registrar
illinois-edu	en-US	https://catalog.illinois.edu/	catalog
illinois-edu	en-US	https://grad.illinois.edu/	graduate
illinois-edu	en-US	https://fightingillini.com/	athletics
illinois-edu	en-US	https://www.alumni.illinois.edu/	alumni
illinois-edu	en-US	https://odos.illinois.edu/	student life
polyu-edu-hk	zh-HK	https://www.polyu.edu.hk/	index
polyu-edu-hk	zh-HK	https://www.lib.polyu.edu.hk/	libraries
polyu-edu-hk	zh-HK	https://www.alumni.polyu.edu.hk/	alumni
um-edu-my	en-MY	https://www.um.edu.my/	index
um-edu-my	en-MY	https://umlib.um.edu.my/	libraries
warwick-ac-uk	en-GB	https://warwick.ac.uk/	index
auckland-ac-nz	en-NZ	https://www.auckland.ac.nz/	index
auckland-ac-nz	en-NZ	https://www.library.auckland.ac.nz/	libraries
auckland-ac-nz	en-NZ	https://www.alumni.auckland.ac.nz/	alumni
auckland-ac-nz	en-NZ	https://www.sport.auckland.ac.nz/	athletics
ntu-edu-tw	zh-TW	https://www.ntu.edu.tw/	index
cityu-edu-hk	zh-HK	https://www.cityu.edu.hk/	index
universite-paris-saclay	fr-FR	https://www.universite-paris-saclay.fr/	index
universite-paris-saclay	fr-FR	https://www.bibliotheques.universite-paris-saclay.fr/	libraries
uwa-edu-au	en-AU	https://www.uwa.edu.au/	index
uwa-edu-au	en-AU	https://www.library.uwa.edu.au/	libraries
uwa-edu-au	en-AU	https://www.alumni.uwa.edu.au/	alumni
uwa-edu-au	en-AU	https://www.sport.uwa.edu.au/	athletics
uwa-edu-au	en-AU	https://www.handbooks.uwa.edu.au/	catalog
uwa-edu-au	en-AU	https://www.studyat.uwa.edu.au/	admissions
brown	en-US	https://www.brown.edu/	index
brown	en-US	https://library.brown.edu/	libraries
brown	en-US	https://admission.brown.edu/	admissions
brown	en-US	https://www.brownbears.com/	athletics
brown	en-US	https://college.brown.edu/	undergraduate
brown	en-US	https://graduateprograms.brown.edu/	graduate
brown	en-US	https://alumni-friends.brown.edu/	alumni
brown	en-US	https://registrar.brown.edu/	registrar
brown	en-US	https://bulletin.brown.edu/	catalog
kth-se	sv-SE	https://www.kth.se/	index
leeds-ac-uk	en-GB	https://www.leeds.ac.uk/	index
leeds-ac-uk	en-GB	https://library.leeds.ac.uk/	libraries
gla-ac-uk	en-GB	https://www.gla.ac.uk/	index
yonsei-ac-kr	ko-KR	https://www.yonsei.ac.kr/	index
dur-ac-uk	en-GB	https://www.dur.ac.uk/	index
